Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0),,,,
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3F-A1,D3F-A1,cis,,
2,D3F-A2,D3F-A2,cis,2.122,1954422.691
3,D3F-A3,D3F-A3,cis,2.12,2042161.73
4,D3F-A4,D3F-A4,cis,2.12,2041732.485
5,D3F-A5,D3F-A5,cis,2.122,2006437.916
6,D3F-A6,D3F-A6,cis,2.122,2093478.847
7,D3F-A7,D3F-A7,cis,2.119,1774924.183
8,D3F-A8,D3F-A8,cis,2.117,567670.2201
9,D3F-A9,D3F-A9,cis,2.122,199198.8818
10,D3F-A10,D3F-A10,cis,2.121,97498.1472
11,D3F-A11,D3F-A11,cis,2.119,125453.8995
12,D3F-A12,D3F-A12,cis,2.118,2264623.562
13,D3F-B1,D3F-B1,cis,2.116,90824.7167
14,D3F-B2,D3F-B2,cis,2.121,1174133.814
15,D3F-B3,D3F-B3,cis,2.124,1717685.735
16,D3F-B4,D3F-B4,cis,2.121,116938.4861
17,D3F-B5,D3F-B5,cis,2.123,1844273.484
18,D3F-B6,D3F-B6,cis,2.12,1908895.71
19,D3F-B7,D3F-B7,cis,2.121,1819594.887
20,D3F-B8,D3F-B8,cis,2.124,1921341.55
21,D3F-B9,D3F-B9,cis,2.127,152292.1065
22,D3F-B10,D3F-B10,cis,2.118,1780871.675
23,D3F-B11,D3F-B11,cis,2.129,2000326.291
24,D3F-B12,D3F-B12,cis,2.119,107079.5849
25,D3F-C1,D3F-C1,cis,2.118,1164424.281
26,D3F-C2,D3F-C2,cis,2.124,3176372.303
27,D3F-C3,D3F-C3,cis,2.12,1097884.246
28,D3F-C4,D3F-C4,cis,2.118,1671719.6
29,D3F-C5,D3F-C5,cis,2.109,1555177.492
30,D3F-C6,D3F-C6,cis,2.12,141567.2287
31,D3F-C7,D3F-C7,cis,2.117,1729021.861
32,D3F-C8,D3F-C8,cis,2.114,1395805.206
33,D3F-C9,D3F-C9,cis,2.118,1921520.353
34,D3F-C10,D3F-C10,cis,2.121,1910354.839
35,D3F-C11,D3F-C11,cis,2.118,1758919.516
36,D3F-C12,D3F-C12,cis,2.12,1863532.426
37,D3F-D1,D3F-D1,cis,2.113,2377602.974
38,D3F-D2,D3F-D2,cis,2.123,2168727.459
39,D3F-D3,D3F-D3,cis,2.124,2036441.2
40,D3F-D4,D3F-D4,cis,2.122,2211965.764
41,D3F-D5,D3F-D5,cis,2.125,2240716.814
42,D3F-D6,D3F-D6,cis,2.124,1328901.545
43,D3F-D7,D3F-D7,cis,2.124,2398706.909
44,D3F-D8,D3F-D8,cis,2.125,2199334.866
45,D3F-D9,D3F-D9,cis,2.127,2131537.349
46,D3F-D10,D3F-D10,cis,2.127,2276522.837
47,D3F-D11,D3F-D11,cis,2.124,2021854.178
48,D3F-D12,D3F-D12,cis,2.124,1917633.707
49,D3F-E1,D3F-E1,cis,2.125,1924135.022
50,D3F-E2,D3F-E2,cis,2.125,1720606.345
51,D3F-E3,D3F-E3,cis,2.122,1701844.392
52,D3F-E4,D3F-E4,cis,2.126,95755.121
53,D3F-E5,D3F-E5,cis,2.125,1382058.253
54,D3F-E6,D3F-E6,cis,2.126,2127149.531
55,D3F-E7,D3F-E7,cis,2.126,2072800.488
56,D3F-E8,D3F-E8,cis,2.128,2050775.801
57,D3F-E9,D3F-E9,cis,2.126,970257.72
58,D3F-E10,D3F-E10,cis,2.128,2259348.196
59,D3F-E11,D3F-E11,cis,2.126,2426329.595
60,D3F-E12,D3F-E12,cis,2.128,1850222.899
61,D3F-F1,D3F-F1,cis,2.122,1251400.015
62,D3F-F2,D3F-F2,cis,2.124,166877.6624
63,D3F-F3,D3F-F3,cis,2.122,1636855.791
64,D3F-F4,D3F-F4,cis,2.128,1624971.73
65,D3F-F5,D3F-F5,cis,2.126,2318598.265
66,D3F-F6,D3F-F6,cis,2.125,1629803.972
67,D3F-F7,D3F-F7,cis,2.126,517446.5452
68,D3F-F8,D3F-F8,cis,2.126,1892845.619
69,D3F-F9,D3F-F9,cis,2.123,1934053.631
70,D3F-F10,D3F-F10,cis,2.125,2010378.654
71,D3F-F11,D3F-F11,cis,2.122,1801845.43
72,D3F-F12,D3F-F12,cis,2.126,1840201.215
73,D3F-G1,D3F-G1,cis,2.123,1784331.005
74,D3F-G2,D3F-G2,cis,2.124,1822434.357
75,D3F-G3,D3F-G3,cis,2.127,1708885.872
76,D3F-G4,D3F-G4,cis,2.126,1905020.546
77,D3F-G5,D3F-G5,cis,2.128,1663139.5
78,D3F-G6,D3F-G6,cis,2.128,129358.9985
79,D3F-G7,D3F-G7,cis,2.124,275598.3394
80,D3F-G8,D3F-G8,cis,2.125,2677355.601
81,D3F-G9,D3F-G9,cis,2.125,1969160.664
82,D3F-G10,D3F-G10,cis,2.127,2506309.878
83,D3F-G11,D3F-G11,cis,2.125,1995847.659
84,D3F-G12,D3F-G12,cis,2.127,1936463.634
85,D3F-H1,D3F-H1,cis,2.121,1149735.711
86,D3F-H2,D3F-H2,cis,2.125,803400.1841
87,D3F-H3,D3F-H3,cis,2.122,1295957.968
88,D3F-H4,D3F-H4,cis,2.122,1457196.753
89,D3F-H5,D3F-H5,cis,2.124,1764816
90,D3F-H6,D3F-H6,cis,2.124,1451642.706
91,D3F-H7,D3F-H7,cis,2.121,1851713.502
92,D3F-H8,D3F-H8,cis,,
93,D3F-H9,D3F-H9,cis,2.129,80628.5812
94,D3F-H10,D3F-H10,cis,2.123,2125052.744
95,D3F-H11,D3F-H11,cis,2.124,359800.0803
96,D3F-H12,D3F-H12,cis,2.122,1282694.919
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0),,,,
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D3F-A1,D3F-A1,trans,,
2,D3F-A2,D3F-A2,trans,2.594,1184555.156
3,D3F-A3,D3F-A3,trans,2.585,1237602.796
4,D3F-A4,D3F-A4,trans,2.591,1191354.958
5,D3F-A5,D3F-A5,trans,2.595,1216896.949
6,D3F-A6,D3F-A6,trans,2.59,1381393.307
7,D3F-A7,D3F-A7,trans,2.589,1403583.011
8,D3F-A8,D3F-A8,trans,2.588,509544.9489
9,D3F-A9,D3F-A9,trans,2.592,165760.6842
10,D3F-A10,D3F-A10,trans,2.591,54835.5985
11,D3F-A11,D3F-A11,trans,2.589,78631.3767
12,D3F-A12,D3F-A12,trans,2.589,1493480.386
13,D3F-B1,D3F-B1,trans,2.588,167714.1587
14,D3F-B2,D3F-B2,trans,2.592,705836.7345
15,D3F-B3,D3F-B3,trans,2.596,1139487.486
16,D3F-B4,D3F-B4,trans,2.592,98262.0154
17,D3F-B5,D3F-B5,trans,2.592,1233443.025
18,D3F-B6,D3F-B6,trans,2.592,1219049.564
19,D3F-B7,D3F-B7,trans,2.59,1237551.952
20,D3F-B8,D3F-B8,trans,2.595,1223925.558
21,D3F-B9,D3F-B9,trans,2.599,172192.2594
22,D3F-B10,D3F-B10,trans,2.588,1195572.452
23,D3F-B11,D3F-B11,trans,2.601,1404145.741
24,D3F-B12,D3F-B12,trans,2.592,193013.0553
