Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4B-A1,D4B-A1,cis,2.130,23679.9468
2,D4B-A2,D4B-A2,cis,2.130,562406.2229
3,D4B-A3,D4B-A3,cis,2.132,1020138.7168
4,D4B-A4,D4B-A4,cis,2.131,250995.6487
5,D4B-A5,D4B-A5,cis,2.127,241961.3595
6,D4B-A6,D4B-A6,cis,2.130,208155.5046
7,D4B-A7,D4B-A7,cis,2.129,341595.2590
8,D4B-A8,D4B-A8,cis,2.125,430730.6813
9,D4B-A9,D4B-A9,cis,2.129,44957.9796
10,D4B-A10,D4B-A10,cis,2.128,79490.5219
11,D4B-A11,D4B-A11,cis,2.127,520550.4158
12,D4B-A12,D4B-A12,cis,2.127,29573.9914
13,D4B-B1,D4B-B1,cis,2.126,314747.8144
14,D4B-B2,D4B-B2,cis,2.127,99825.4459
15,D4B-B3,D4B-B3,cis,2.129,70840.4397
16,D4B-B4,D4B-B4,cis,2.124,38267.7256
17,D4B-B5,D4B-B5,cis,2.125,267148.1975
18,D4B-B6,D4B-B6,cis,2.131,318675.0646
19,D4B-B7,D4B-B7,cis,2.128,411458.6450
20,D4B-B8,D4B-B8,cis,2.128,436243.5391
21,D4B-B9,D4B-B9,cis,2.129,477971.8119
22,D4B-B10,D4B-B10,cis,2.127,204693.0978
23,D4B-B11,D4B-B11,cis,2.126,221702.9083
24,D4B-B12,D4B-B12,cis,2.128,44337.2864
25,D4B-C1,D4B-C1,cis,2.128,201509.6250
26,D4B-C2,D4B-C2,cis,2.128,27822.4205
27,D4B-C3,D4B-C3,cis,2.128,353608.9358
28,D4B-C4,D4B-C4,cis,2.131,22845.0107
29,D4B-C5,D4B-C5,cis,2.130,237957.0574
30,D4B-C6,D4B-C6,cis,2.127,244081.6192
31,D4B-C7,D4B-C7,cis,2.129,367634.0943
32,D4B-C8,D4B-C8,cis,2.129,109920.4531
33,D4B-C9,D4B-C9,cis,2.129,261312.1894
34,D4B-C10,D4B-C10,cis,2.130,30072.6096
35,D4B-C11,D4B-C11,cis,2.130,16130.1306
36,D4B-C12,D4B-C12,cis,2.130,419356.0282
37,D4B-D1,D4B-D1,cis,2.129,286295.8323
38,D4B-D2,D4B-D2,cis,2.131,76912.8198
39,D4B-D3,D4B-D3,cis,2.127,314580.2956
40,D4B-D4,D4B-D4,cis,2.131,25303.6833
41,D4B-D5,D4B-D5,cis,2.129,459104.3719
42,D4B-D6,D4B-D6,cis,2.131,346812.0633
43,D4B-D7,D4B-D7,cis,2.127,298437.7890
44,D4B-D8,D4B-D8,cis,2.128,255544.6545
45,D4B-D9,D4B-D9,cis,2.128,38186.4298
46,D4B-D10,D4B-D10,cis,2.130,265456.1443
47,D4B-D11,D4B-D11,cis,2.130,256622.4164
48,D4B-D12,D4B-D12,cis,2.127,318269.3262
49,D4B-E1,D4B-E1,cis,2.131,8421.3606
50,D4B-E2,D4B-E2,cis,2.127,397105.2926
51,D4B-E3,D4B-E3,cis,2.128,226032.6642
52,D4B-E4,D4B-E4,cis,2.131,27320.7976
53,D4B-E5,D4B-E5,cis,2.133,525718.6822
54,D4B-E6,D4B-E6,cis,2.128,442492.8806
55,D4B-E7,D4B-E7,cis,2.130,119209.6521
56,D4B-E8,D4B-E8,cis,2.128,425812.8467
57,D4B-E9,D4B-E9,cis,2.130,153838.8338
58,D4B-E10,D4B-E10,cis,2.133,90461.6416
59,D4B-E11,D4B-E11,cis,2.131,514412.3036
60,D4B-E12,D4B-E12,cis,2.132,34737.4729
61,D4B-F1,D4B-F1,cis,2.132,309171.4067
